Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
2C2L SAS;;;Information non disponible (activité B2B).;;;;;NTP (Structure établie);;;Automatisation / Robotique, Data / Analytics;Logiciel / Plateforme sur mesure, Service de conseil et d'intégration.;Multi-sports;;Fédération, Ligue / Comité, Organisateur événement / compétition, Entreprise;2C2L est une société de services en ingénierie informatique spécialisée dans le développement de solutions web, d'applications métier et de gestion de données. Dans le sport, elle est connue pour son expertise dans les outils de gestion d'événements, la billetterie et les solutions administratives.;Intégrateur / Agence / Entreprise de service;;1997;France;Fournir des outils numériques pour la gestion complète d'une compétition (inscriptions, résultats, accréditations) ou la gestion administrative d'une fédération.;Fédération Française de Tennis (FFT) (pour Roland-Garros notamment), Fédérations sportives.;Actif;Gestion / Management, Billetterie / Ticketing / Hospitality, Data & analytics;"Haute adaptabilité (solutions sur mesure) ; intégration avec des systèmes de paiement et des outils tiers.";Solution mature et déployée, offre de service et d'intégration.;Forte (Entreprise française axée sur les marchés publics et les grandes structures).;Développement de plateformes sur mesure, outils de gestion de tournois et d'événements, billetterie modulaire, gestion des accréditations.;https://www.linkedin.com/company/2c2l/;Contrats de service et d'intégration (Prestation), Licences logicielles pour les plateformes développées.;
4Riders;David ZANETTI (Président);contact@4riders.ski;http://www.4riders.ski/;74 (Haute-Savoie);[1-10];;;Pôle Montagne (Cluster);;;IoT / Trackers / Wearables, Data / Analytics, Intelligence artificielle / Machine Learning (pour l'analyse de la glisse).;Hardware (Capteurs) et Software (Application Mobile);Ski, Snowboard;;Sportif amateur, Sportif professionnel, Club amateur / Association, Organisateur événement / compétition;4Riders développe un capteur connecté pour les skis et snowboards, mesurant la performance et l'activité du rider (nombre de descentes, vitesse, temps de vol...). La solution est axée sur l'analyse de données pour améliorer la performance et la sécurité sur les pistes, avec un aspect communautaire (classements).;Start-up;;2021;France;Permettre aux skieurs et snowboarders de suivre leurs progrès et de se comparer. Fournir aux moniteurs/clubs des données objectives sur la performance des athlètes.;;Actif;Athletes & performance, Data & analytics, Fan Experience / Fan engagement, Sécurité & sûreté;Application mobile (iOS/Android);Jeune entreprise, en phase de commercialisation.;Forte (origine française, cœur de métier dans les sports d'hiver alpins).;Capteur miniature fixé sur le ski/snowboard, mesure précise de la performance et du temps de glisse, classement mondial/communautaire, détection des conditions de glisse.;https://www.linkedin.com/company/4riders/;Vente du capteur (Hardware), Abonnement (pour les fonctionnalités Premium de l'application).;
Action Rédaction;;;Information non disponible (agence de service).;;;;;NTP (Structure établie);;;Intelligence artificielle / Machine Learning (potentiellement), Innovation sociale / Inclusion;Service de prestation intellectuelle (Rédaction, Conseil en stratégie éditoriale).;Multi-sports;;Fédération, Club professionnel, Média, Entreprise, Sponsor / Mécène;Action Rédaction est une agence de communication éditoriale spécialisée dans la production de contenu (articles web, communiqués de presse, newsletters). Dans le secteur sportif, elle aide les clubs, les fédérations et les entreprises à développer leur stratégie de contenu et à créer du contenu de qualité.;Agence;;2014;France;Externalisation de la création de contenu (articles de blog, newsletters), aide à la rédaction de dossiers de sponsoring ou de présentation, animation des réseaux sociaux.;Clubs sportifs, entreprises du secteur sportif, médias (Références spécifiques non trouvées publiquement).;Actif;Médias / Streaming / OTT, Fan Experience / Fan engagement, Partenariat / Sponsoring;Intégration avec les équipes de communication client.;Agence de service établie et opérationnelle.;Forte.;Expertise en rédaction SEO, création de contenus multi-formats (web, print, vidéo script), spécialisation sectorielle (dont le sport).;https://www.linkedin.com/company/action-redaction-sas/;Contrats de prestation de service (Facturation à l'heure, au projet ou via abonnement mensuel/annuel de contenu).;
ACTIVCORNER;Anthony GOMES / Ludovic DUMOULIN;contact@activcorner.com;https://www.activcorner.com/;69 (Rhône);[1-10];;;;;;Automatisation / Robotique, Data / Analytics;Logiciel SaaS / Application mobile;Fitness, Bien-être, Multi-sports;B2B;Club amateur / Association, Fournisseur biens / services (dont salles), Entreprise;Plateforme de gestion tout-en-un et de réservation pour les professionnels du sport et du fitness (planning, paiement, CRM).;Start-up / Éditeur;;2017;France;Simplification de la gestion administrative et commerciale pour les salles et studios de sport.;Salles de fitness indépendantes, Studios;Actif;Gestion / Management;Intégration avec systèmes de paiement (Stripe);Produit commercialisé;;Outil de gestion complet, réservation en ligne, facturation automatique.;https://www.linkedin.com/company/activcorner/;Abonnement SaaS;
ACTIVELOOK;Équipe Dirigeante MicroOLED;contact@activelook.net;https://www.activelook.net/;38 (Isère);[11-50] (MicroOLED);;;Bpifrance;Non;;Réalité Virtuelle / Réalité Augmentée, IoT / Trackers / Wearables, Data / Analytics;Technologie d'affichage tête haute (Hardware/Software);Cyclisme, Course à pied, Triathlon;B2B;Fournisseur biens / services (dont salles), Entreprise (fabricants de lunettes);Module d'affichage miniature et léger pour intégration dans des lunettes de sport, affichant les données de performance en temps réel (vitesse, distance, rythme).;Start-up / Éditeur;;2018 (Lancement Tech);France;Affichage de données de performance directement dans le champ de vision du sportif sans le distraire.;Partenariats avec des marques de lunettes de sport (Julbo, etc.).;Actif;Athletes & performance, Data & analytics;Compatible avec des capteurs Bluetooth (vitesse, cadence, cardio).;Technologie mature, commercialisation via des partenaires.;International (entreprise mère française, marché mondial);Affichage tête haute léger et transparent.;https://www.linkedin.com/company/activelook/;Vente de la technologie (Licences et composants) aux fabricants.;
Adeorun;Christophe DELAGARDE;contact@adeorun.com;https://adeorun.com/;44 (Loire-Atlantique);[1-10];;;;Non;;Automatisation / Robotique;Plateforme SaaS d'inscription et de gestion d'événements;Course à pied, Trail, Cyclisme, Multi-sports;B2B;Organisateur événement / compétition, Club amateur / Association, Ligue / Comité;Solution clé en main pour la gestion complète d'événements sportifs (inscriptions, paiement, communication, résultats).;Start-up / Éditeur;;2010;France;Simplifier l'organisation et la billetterie pour les organisateurs de courses et d'événements.;Organisateurs de courses populaires (ex: Marathon, Trail).;Actif;Billetterie / Ticketing / Hospitality, Gestion / Management;Intégration avec des systèmes de chronométrage et de paiement en ligne.;Produit commercialisé et établi;;Outil d'inscription simple, gestion des dossards, des participants et du paiement.;https://fr.linkedin.com/company/adeorun;Commission sur les inscriptions, Abonnement SaaS;
Adn Sponsoring;Laurent COUSIN (Fondateur);contact@adnsponsoring.com;https://www.adnsponsoring.com/;35 (Ille-et-Vilaine);[1-10];;;;Oui;;Data / Analytics;Plateforme de mise en relation B2B;Multi-sports;B2B;Sponsor / Mécène, Club professionnel, Organisateur événement / compétition, Sportif professionnel;Plateforme permettant aux entités sportives de présenter leurs projets et aux marques de trouver des opportunités de sponsoring ciblées.;Start-up / Éditeur;;2019;France;Faciliter et digitaliser la recherche de sponsoring et de partenariat pour les acteurs du sport.;Clubs de Football, de Rugby, Fédérations, Marques nationales.;Actif;Partenariat / Sponsoring, Marketplace;;Produit commercialisé;;Outil de matching, création de dossiers de sponsoring en ligne, ciblage précis des marques.;https://www.linkedin.com/company/adn-sponsoring/;Abonnement (pour les entités sportives), Commission (sur les transactions);
AGON (Entraînement VR);Maëven DAUCE (Présidente);NTP (Pas d'email public direct);https://agon-league.com/;17 (Charente-Maritime, adresse enregistrée à La Jarne);[1-10];;;La Rochelle Technopole, Bpifrance, Prêt d'Honneur Nouvelle-Aquitaine;;;Réalité Virtuelle / Réalité Augmentée, Data / Analytics, Intelligence artificielle / Machine Learning;Logiciel (Application VR) et Hardware (Intégration VR);Rugby, Multi-sports (s'applique à divers sports d'équipe et individuels);B2B;Club professionnel, Fédération, Sportif professionnel, Staff technique;Entraînements sportifs immersifs en réalité virtuelle, axés sur la prise de décision cognitive et la performance technique.;Start-up;Prêt d'Honneur Nouvelle Aquitaine Amorçage (fin 2022);2021 (Création de l'entreprise);France;Améliorer la performance cognitive des athlètes, rendre les analyses vidéo plus immersives et pertinentes, travailler la prise de décision en situation simulée.;Stade Rochelais (Ambassadeurs);Actif;Athletes & performance, Data & analytics, Gaming / Fantasy / Esport;Casques de Réalité Virtuelle, Capteurs;Développement et commercialisation de la solution VR.;Forte (Ancrage en Nouvelle-Aquitaine);Solution VR intégrant la dimension cognitive pour l'entraînement sportif.;https://www.linkedin.com/company/agon-league/;Licences B2B (Clubs, Centres de performance);
AGON Data Nutrition (ADENOS NUTRITION);NTP (Dirigeant non trouvé publiquement);NTP (Pas d'email public direct);https://www.agon-datanutrition.com/;75 (Paris);[1-10] (Unité non employeuse selon l'INSEE en 2024);;;;;;Data / Analytics, Intelligence artificielle / Machine Learning (pour la personnalisation);Service de nutrition personnalisée et de conseil (potentiellement e-commerce spécialisé);Multi-sports, Athlétisme, Fitness;B2C, B2B;Sportif amateur, Sportif professionnel, Staff technique;Solutions de coaching nutritionnel personnalisées pour sportifs, basées sur l'analyse de données (nutrition prédictive).;Start-up;;2024 (Création légale ADENOS);France;Optimiser la performance et la récupération de l'athlète via une alimentation sur mesure et basée sur la data.;;Actif;Athletes & performance, Data & analytics;;Très jeune entreprise;France (Paris);Conseil nutritionnel ultra-personnalisé s'appuyant sur des données de performance et de santé.;;Vente de services / produits (E-commerce ou abonnement);
AI BRIGHT;Ouael Mouelhi;ouael@ai-bright.com;https://ai-bright.com;92 (Hauts-de-Seine);[1-10];<1 M€;2 501–10 000;SportTech;Oui;500 000 € ;Intelligence artificielle / Machine Learning, Data / Analytics, IoT / Trackers / Wearables;Service phygital;Fitness;B2C, B2B2C;Sportif amateur, Club professionnel;Démocratiser le coaching sportif individuel grâce à l’IA (analyse prédictive, posture, assistant virtuel).;Start-up;;;France;Coaching personnalisé, correction des mouvements en temps réel, suivi de progression.;Clubs de Fitness, Particuliers;Actif;Athletes & performance, Data & analytics;Capteurs connectés, analyse vidéo/posture;Produit commercialisé;;Coaching individualisé et analyse instantanée via l'IA.;;Abonnement;
